% Device,CC2225003,,,,,,
% File name,CC2225003_20240411_021738,,,,,,
% Cast time (UTC),4/11/2024 2:17,,,,,,
% Cast time (local),4/11/2024 12:17,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,-42.8757703,,,,,,
% Start longitude,147.34123,,,,,,
% Start altitude,4.875,,,,,,
% Start GPS horizontal error(Meter),5.806000233,,,,,,
% Start GPS vertical error(Meter),7.846000195,,,,,,
% Start GPS number of satellites,10,,,,,,
% End latitude,-42.8752975,,,,,,
% End longitude,147.3403564,,,,,,
% End altitude,8.23900032,,,,,,
% End GPS horizontal error(Meter),12.66699982,,,,,,
% End GPS vertical error(Meter),19.02599907,,,,,,
% End GPS number of satellites,10,,,,,,
% Cast duration (Seconds),362.6,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,6/30/2022,,,,,,
% Temperature calibration date,6/29/2022,,,,,,
% Pressure calibration date,6/17/2022,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.149692253,16.71369264,39330.37492,47143.24294,30.40575971,1506.702281,1022.058623
0.45,0.449072508,16.72059926,39366.43103,47178.65002,30.43145197,1506.757829,1022.078075
0.75,0.748442431,16.73463399,39464.43181,47280.19398,30.50503535,1506.89002,1022.132609
1.05,1.047789605,16.72875571,39608.6989,47459.71721,30.63360982,1507.024193,1022.233822
1.35,1.347101485,16.76722915,39866.75431,47724.9211,30.82631075,1507.367431,1022.374071
1.65,1.646320189,16.95575726,40853.49312,48686.39704,31.52951909,1508.75098,1022.870998
1.95,1.945421106,17.05041936,41439.90653,49274.07047,31.95942902,1509.534082,1023.179819
2.25,2.244436127,17.07145018,41888.18791,49782.20115,32.32852196,1510.024417,1023.459121
2.55,2.543402293,17.07522284,41975.19934,49881.13729,32.40035709,1510.122884,1023.514627
2.85,2.842329885,17.08295099,42299.58128,50257.38486,32.67369398,1510.463606,1023.723668
3.15,3.141197559,17.10634533,42633.08526,50625.48758,32.94235068,1510.846144,1023.925457
3.45,3.440030239,17.11038614,42694.43286,50693.4711,32.99190049,1510.919924,1023.963819
3.75,3.738833007,17.12629701,42965.60889,50996.1852,33.21293652,1511.225423,1024.130862
4.05,4.037580195,17.20090603,43385.50083,51403.51821,33.51384559,1511.798197,1024.345256
