% Device,CC2225003,,,,,,
% File name,CC2225003_20240411_031616,,,,,,
% Cast time (UTC),4/11/2024 3:16,,,,,,
% Cast time (local),4/11/2024 13:16,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,-42.8391609,,,,,,
% Start longitude,147.3318387,,,,,,
% Start altitude,5.97300005,,,,,,
% Start GPS horizontal error(Meter),7.039000034,,,,,,
% Start GPS vertical error(Meter),9.619000435,,,,,,
% Start GPS number of satellites,12,,,,,,
% End latitude,-42.8392449,,,,,,
% End longitude,147.3319786,,,,,,
% End altitude,3.871000051,,,,,,
% End GPS horizontal error(Meter),18.5189991,,,,,,
% End GPS vertical error(Meter),23.67399979,,,,,,
% End GPS number of satellites,10,,,,,,
% Cast duration (Seconds),163.4,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,6/30/2022,,,,,,
% Temperature calibration date,6/29/2022,,,,,,
% Pressure calibration date,6/17/2022,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.149701903,17.01520858,39606.51053,47133.54029,30.41470456,1507.632753,1021.996534
0.45,0.44910221,16.99472451,39597.96658,47146.35831,30.42275119,1507.584632,1022.008738
0.75,0.748498228,16.95329391,39577.34788,47168.34389,30.43628925,1507.478996,1022.029955
1.05,1.047889455,16.92629003,39560.28769,47178.3786,30.44198371,1507.408231,1022.041843
1.35,1.347281181,16.95508276,39571.12283,47158.91404,30.42940252,1507.486526,1022.026931
1.65,1.64667177,17.01849846,39682.65155,47220.45409,30.47681612,1507.738569,1022.050001
1.95,1.946025487,17.0618292,40084.1713,47649.10617,30.78726555,1508.229609,1022.279113
2.25,2.245293041,17.08727152,40662.77318,48307.68509,31.26306905,1508.854988,1022.639011
2.55,2.544420253,17.15655588,41661.6261,49412.98599,32.06559438,1509.985638,1023.239036
2.85,2.843423058,17.26371198,42179.83603,49900.77073,32.42490107,1510.723053,1023.490491
3.15,3.142287347,17.39312199,43407.14951,51195.98117,33.37379144,1512.197918,1024.188227
3.45,3.440992813,17.48499632,44121.16965,51925.58959,33.91129722,1513.089428,1024.579482
3.75,3.739610185,17.54731574,44526.83251,52326.25341,34.20769872,1513.617246,1024.792962
4.05,4.038179083,17.58892119,44762.61354,52551.94577,34.37517177,1513.936302,1024.912583
