% Device,CC2225003,,,,,,
% File name,CC2225003_20240411_002032,,,,,,
% Cast time (UTC),4/11/2024 0:20,,,,,,
% Cast time (local),4/11/2024 10:20,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,-42.868157,,,,,,
% Start longitude,147.3423236,,,,,,
% Start altitude,3.2219998836517334,,,,,,
% Start GPS horizontal error(Meter),4.5250000953674316,,,,,,
% Start GPS vertical error(Meter),11.109999656677246,,,,,,
% Start GPS number of satellites,11,,,,,,
% End latitude,-42.868216,,,,,,
% End longitude,147.3422357,,,,,,
% End altitude,-9.005000114,,,,,,
% End GPS horizontal error(Meter),12.267999649047852,,,,,,
% End GPS vertical error(Meter),24.913999557495117,,,,,,
% End GPS number of satellites,12,,,,,,
% Cast duration (Seconds),235.6,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,6/30/2022,,,,,,
% Temperature calibration date,6/29/2022,,,,,,
% Pressure calibration date,6/17/2022,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14965248949860949,16.630848101232736,39639.899508548748,47608.806109543279,30.735727302723411,1506.8262203934448,1022.3303741427055
0.44999999999999996,0.448945029,16.645446964493878,39774.719336776034,47753.98301126076,30.840833778106383,1506.9964000274495,1022.4089705228696
0.74999999999999989,0.74821129117413587,16.665771054035158,39953.993384566762,47945.822642705396,30.979900504221856,1507.2229883023497,1022.5122959408445
1.05,1.0474474922161037,16.718358119398925,40172.177907312464,48146.88271328745,31.127505550226996,1507.5579548185888,1022.6147907938279
1.35,1.3466587467328111,16.750769473984292,40314.012627333665,48279.364829975289,31.224666201996204,1507.7732252422911,1022.6831925891181
1.65,1.6458468232481716,16.863860666469858,40590.381895523489,48479.023732316287,31.374795312662272,1508.2947717076479,1022.7736296254545
1.9500000000000002,1.9449247869759261,16.999884098361296,41764.561729792054,49719.853550050124,32.27943293888368,1509.7471455702762,1023.4368751312522
2.25,2.2438710611050987,17.038441322848826,42172.552816564981,50159.510544986908,32.600343060505928,1510.2355666471067,1023.6752108103985
2.55,2.5427531233377172,17.045852003486218,42485.103455831762,50522.348140678805,32.864149935395524,1510.5645800882842,1023.8770576610752
2.85,2.8415802854163354,17.033761254936266,42731.017859386062,50829.400681301049,33.086570076405145,1510.787524433159,1024.0517681458261
3.15,3.1403750868033091,17.021425441305805,42784.579445376294,50908.053446611942,33.142958453146953,1510.8198401244381,1024.099231878796
3.4499999999999997,3.4391546841993086,17.022528481616938,42870.226393349985,51008.623162815966,33.216090369386592,1510.9118175687988,1024.1563821588923
3.75,3.7379227414363418,17.054139544236353,42943.360740289318,51057.233848665004,33.253201961817886,1511.0544542354835,1024.1787354443241
4.05,4.0366607475706315,17.081131591310967,43254.217339879382,51393.838169516617,33.499832831052338,1511.4227423421619,1024.362836840957
4.35,4.3353508975109882,17.125709113859255,43528.739977736695,51665.290500018964,33.700260971110247,1511.7908277507163,1024.5073358436086
4.6499999999999995,4.6339890518612457,17.203243667828847,43950.02148696431,52069.482896722242,33.999783942429296,1512.3705606858739,1024.7199645203755
4.9499999999999993,4.9325836402899235,17.234888008895567,44121.03575787555,52232.92619,34.120980135771546,1512.608679903474,1024.8066956393291
5.2499999999999991,5.2311355662494377,17.315026673316812,44537.896718365293,52626.572898334227,34.413568551055363,1513.1870810591961,1025.0132442529027
5.55,5.5296500429000464,17.400217759964129,44727.773034377373,52744.74448172647,34.504990416118538,1513.54992,1025.0642200758393
5.85,5.8281527444213408,17.434312667333113,44817.720932893404,52808.350266263522,34.553465933255005,1513.7114942059261,1025.0945032526111
6.1499999999999995,6.1266441513954764,17.477793679031763,44946.790473530447,52906.22061629987,34.627610750950559,1513.930067567064,1025.1421860183025
6.4499999999999993,6.4251150668294281,17.503578341078761,45121.221342318247,53079.320734166977,34.755929205486716,1514.1578574398491,1025.2356552956467
6.7499999999999991,6.7235680879342548,17.533978649177222,45205.858175849549,53140.876555083349,34.802739500702295,1514.3062144919054,1025.2655063814068
7.0499999999999989,7.0220162672136484,17.54256365759003,45221.440156062228,53148.46622788594,34.808692112691425,1514.3433809267501,1025.2693107623945
7.35,7.3204624205244269,17.550804154045828,45246.694241190606,53167.848576239478,34.823278063500148,1514.3893696466207,1025.2798162021372
7.6499999999999995,7.6189040187992845,17.548535787368355,45273.777241857926,53202.509092332417,34.848468465109093,1514.4163813683574,1025.3009978594914
7.9499999999999993,7.9173431501142968,17.552813208691948,45271.933889883068,53194.995202615304,34.843088100287979,1514.4278744131609,1025.2971564716563
8.2031484548831024,8.1691718356717686,17.553496175044415,45310.462654466726,53239.412418760483,34.875630799170992,1514.4712190809526,1025.3230529474793
