% Device,CC2225003,,,,,,
% File name,CC2225003_20240411_051030,,,,,,
% Cast time (UTC),4/11/2024 5:10,,,,,,
% Cast time (local),4/11/2024 15:10,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,-42.8462373,,,,,,
% Start longitude,147.3363414,,,,,,
% Start altitude,3.125,,,,,,
% Start GPS horizontal error(Meter),6.789999962,,,,,,
% Start GPS vertical error(Meter),7.176000118,,,,,,
% Start GPS number of satellites,14,,,,,,
% End latitude,-42.8462426,,,,,,
% End longitude,147.3361812,,,,,,
% End altitude,3.709000111,,,,,,
% End GPS horizontal error(Meter),13.40200043,,,,,,
% End GPS vertical error(Meter),14.75500011,,,,,,
% End GPS number of satellites,13,,,,,,
% Cast duration (Seconds),283.8,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,6/30/2022,,,,,,
% Temperature calibration date,6/29/2022,,,,,,
% Pressure calibration date,6/17/2022,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.149645063,17.07933772,40276.14844,47857.39346,30.93878114,1508.425819,1022.383138
0.45,0.448938774,17.09590105,40248.10222,47805.25088,30.90198707,1508.438967,1022.35245
0.75,0.748224116,17.12939165,40425.73519,47978.06663,31.02813959,1508.689325,1022.442636
1.05,1.047465995,17.15699409,40774.71011,48360.55201,31.3053236,1509.094106,1022.649852
1.35,1.346661145,17.18158245,40975.53672,48570.41194,31.45802129,1509.347579,1022.762411
1.65,1.645812856,17.21976564,41303.96323,48915.43405,31.70927078,1509.754366,1022.947268
1.95,1.944887225,17.27528024,41898.17088,49553.9836,32.17438642,1510.456983,1023.291859
2.25,2.24386146,17.34233499,42502.35517,50188.96003,32.63860867,1511.192577,1023.632998
2.55,2.542752528,17.38613122,42905.68361,50612.88017,32.94903985,1511.682587,1023.861773
2.85,2.841592957,17.40745311,43112.06801,50830.76776,33.10866345,1511.93327,1023.980327
3.15,3.14039143,17.44790824,43421.03422,51146.25905,33.34059212,1512.323334,1024.149708
3.45,3.439154225,17.45369967,43541.70462,51281.40182,33.43932042,1512.458141,1024.225297
3.75,3.737910063,17.45852776,43504.41218,51231.65413,33.40320651,1512.436317,1024.197794
4.05,4.03664985,17.47560151,43734.83778,51482.3054,33.5868575,1512.701507,1024.335753
4.35,4.335357483,17.50644427,43900.02178,51639.2544,33.70301685,1512.930597,1024.418688
4.65,4.634037835,17.53891776,44100.43141,51835.39419,33.84796632,1513.197213,1024.523276
4.95,4.932623911,17.62628695,45040.66948,52832.03476,34.58219641,1514.297646,1025.066157
5.25,5.231110165,17.65110727,45289.22166,53092.66812,34.77466585,1514.595228,1025.208964
5.55,5.529572221,17.65224535,45324.99608,53133.18877,34.80435411,1514.637404,1025.232761
