% Device,CC2225003,,,,,,
% File name,CC2225003_20240411_044341,,,,,,
% Cast time (UTC),4/11/2024 4:43,,,,,,
% Cast time (local),4/11/2024 14:43,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,-42.8682724,,,,,,
% Start longitude,147.3425087,,,,,,
% Start altitude,2.138000011,,,,,,
% Start GPS horizontal error(Meter),5.168000221,,,,,,
% Start GPS vertical error(Meter),5.578999996,,,,,,
% Start GPS number of satellites,14,,,,,,
% End latitude,-42.8678149,,,,,,
% End longitude,147.3421236,,,,,,
% End altitude,6.018000126,,,,,,
% End GPS horizontal error(Meter),30.13699913,,,,,,
% End GPS vertical error(Meter),35.01300049,,,,,,
% End GPS number of satellites,9,,,,,,
% Cast duration (Seconds),188.8,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,6/30/2022,,,,,,
% Temperature calibration date,6/29/2022,,,,,,
% Pressure calibration date,6/17/2022,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.149684523,16.99484171,39756.39447,47334.85454,30.55833126,1507.734878,1022.111228
0.45,0.449042238,16.999631,39871.87632,47466.93646,30.65345658,1507.863075,1022.18432
0.75,0.748388077,17.00016445,39885.39299,47482.42479,30.66452151,1507.882313,1022.194003
1.05,1.047734208,17.00210295,39868.68143,47460.33964,30.64863488,1507.875033,1022.182718
1.35,1.347076203,17.00498945,39931.21451,47531.51356,30.6998795,1507.947318,1022.222636
1.65,1.646412548,17.00198785,39924.15586,47526.50756,30.69601748,1507.938763,1022.2217
1.95,1.945750444,17.00063324,39906.43213,47506.94102,30.68176778,1507.923346,1022.212427
2.25,2.245022072,17.0183001,40630.66766,48348.77608,31.28902628,1508.67573,1022.674891
2.55,2.544140669,17.10395297,41624.69564,49430.86421,32.07566217,1509.838525,1023.259057
2.85,2.843082373,17.16297442,42648.97053,50576.33043,32.90993651,1510.974395,1023.88595
3.15,3.141898612,17.13561141,42963.36213,50982.24601,33.20354602,1511.232712,1024.118815
3.45,3.440663221,17.09746234,43094.68774,51184.4246,33.34844028,1511.288717,1024.240238
3.75,3.739389501,17.09170824,43298.90863,51434.01212,33.52984371,1511.483873,1024.382031
4.05,4.038086666,17.08153913,43371.37965,51532.54912,33.60096922,1511.539658,1024.440304
4.35,4.336771899,17.06543118,43384.32683,51567.67162,33.62551791,1511.524314,1024.46426
4.65,4.635451433,17.05798615,43396.02249,51590.70424,33.64176148,1511.525501,1024.4798
4.95,4.934112312,17.07696171,43588.88695,51796.61884,33.79298012,1511.76052,1024.592628
5.25,5.232732862,17.1457158,43925.34812,52111.28497,34.0267027,1512.239092,1024.756929
5.55,5.531315757,17.17351508,44102.73369,52287.23953,34.156833,1512.476127,1024.851454
5.85,5.829875904,17.19329456,44220.61297,52402.41777,34.24211577,1512.637793,1024.91348
6.15,6.128412819,17.25956127,44454.90035,52597.4466,34.38863104,1513.008188,1025.01136
6.45,6.426932715,17.3060697,44544.76357,52645.83059,34.42668642,1513.195317,1025.030738
6.75,6.725448465,17.31844202,44573.84092,52664.79436,34.44118705,1513.253721,1025.040215
7.05,7.02396267,17.3242866,44582.15646,52667.34545,34.44328571,1513.278507,1025.041746
7.35,7.322475058,17.32944167,44604.32534,52687.1175,34.45795387,1513.315596,1025.05308
7.65,7.620982805,17.33951136,44647.58637,52725.67507,34.48667011,1513.383358,1025.074007
7.95,7.919486738,17.34308717,44659.07843,52734.79264,34.49344471,1513.406721,1025.079665
8.25,8.21798691,17.35374162,44702.60473,52772.91098,34.52187849,1513.475883,1025.100233
8.55,8.516479923,17.3906143,44794.27919,52835.13807,34.56951974,1513.644901,1025.129223
8.738007238,8.703536114,17.39896327,44870.82054,52914.9973,34.62846212,1513.740133,1025.173238
